"Nombre","Puntuacion","Precio","fecha"
"Tarraco Park Tarragona","7,9","€ 86","1"
"Hotel SB Ciutat de Tarragona","7,6","€ 208","1"
"Hotel Canadá","8,0","€ 126","1"
"Hotel Sant Jordi","8,6","€ 115","1"
"Palas Pineda","7,8","€ 93","1"
"Golden Donaire Beach","8,4","€ 97","1"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","1"
"Mercure Atenea Aventura","8,0","€ 71","1"
"Medplaya Hotel Calypso","7,7","€ 71","1"
"Aparthotel SunClub Salou","8,0","€ 68","1"
"Hotel Raval de la Mar","8,2","€ 68","1"
"Hotel Cala Font","7,9","€ 83","1"
"Ohtels Vil·la Romana","8,2","€ 93","1"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 283","1"
"H10 Mediterranean Village","8,5","€ 156","1"
"Hotel Best Punta Dorada","8,1","€ 76","1"
"Medplaya Pirámide Salou","7,3","€ 65","1"
"Hotel Best Da Vinci","8,2","€ 84","1"
"Hotel Olympus Palace","8,8","€ 102","1"
"Hotel Best San Francisco","7,6","€ 69","1"
"Hotel Gran Claustre Restaurant & Spa","8,1","€ 173","1"
"Magnolia Hotel - Adults Only","8,4","€ 94","1"
"Hotel Best San Diego","7,9","€ 65","1"
"Altafulla Mar Hotel","8,7","€ 134","1"
"4R Salou Park Resort I","7,0","€ 71","1"
"AC Hotel Tarragona by Marriott","8,4","€ 107","2"
"H10 Imperial Tarraco 4* Sup","8,9","€ 109","2"
"Tarraco Park Tarragona","7,9","€ 77","2"
"Hotel SB Ciutat de Tarragona","7,6","€ 98","2"
"Hotel Lauria","7,7","€ 76","2"
"Astari","8,3","€ 70","2"
"Nuria","8,1","€ 79","2"
"Hotel Canadá","8,0","€ 76","2"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 63","2"
"Hotel Sant Jordi","8,6","€ 70","2"
"Hotel SB Express Tarragona","8,3","€ 86","2"
"Hotel Best Terramarina","8,3","€ 57","2"
"Hotel Mas La Boella","9,1","€ 199","2"
"Palas Pineda","7,8","€ 58","2"
"Estival Park","8,0","€ 54","2"
"Golden Donaire Beach","8,4","€ 68","2"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 161","2"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","2"
"Mercure Atenea Aventura","8,0","€ 62","2"
"Medplaya Hotel Calypso","7,7","€ 79","2"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 158","2"
"Aparthotel SunClub Salou","8,0","€ 63","2"
"Hotel Cala Font","7,9","€ 77","2"
"Hotel Raval de la Mar","8,2","€ 61","2"
"Ohtels Vil·la Romana","8,2","€ 81","2"
"AC Hotel Tarragona by Marriott","8,4","€ 107","3"
"H10 Imperial Tarraco 4* Sup","8,9","€ 109","3"
"Tarraco Park Tarragona","7,9","€ 87","3"
"Hotel SB Ciutat de Tarragona","7,6","€ 118","3"
"Hotel Lauria","7,7","€ 67","3"
"Astari","8,3","€ 70","3"
"Nuria","8,1","€ 79","3"
"Hotel Canadá","8,0","€ 76","3"
"Hotel Sant Jordi","8,6","€ 70","3"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 66","3"
"Hotel SB Express Tarragona","8,3","€ 81","3"
"Hotel Best Terramarina","8,3","€ 57","3"
"Hotel Mas La Boella","9,1","€ 199","3"
"Palas Pineda","7,8","€ 68","3"
"Estival Park","8,0","€ 69","3"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 161","3"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","3"
"Mercure Atenea Aventura","8,0","€ 62","3"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","3"
"Medplaya Hotel Calypso","7,7","€ 79","3"
"Hotel Oasis Park","7,5","€ 53","3"
"Hotel Cala Font","7,9","€ 77","3"
"Aparthotel SunClub Salou","8,0","€ 63","3"
"Hotel Raval de la Mar","8,2","€ 61","3"
"Ohtels Vil·la Romana","8,2","€ 81","3"
"AC Hotel Tarragona by Marriott","8,4","€ 107","4"
"H10 Imperial Tarraco 4* Sup","8,9","€ 130","4"
"Tarraco Park Tarragona","7,9","€ 87","4"
"Hotel SB Ciutat de Tarragona","7,6","€ 118","4"
"Hotel Lauria","7,7","€ 67","4"
"Astari","8,3","€ 70","4"
"Nuria","8,1","€ 79","4"
"Hotel Canadá","8,0","€ 76","4"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 66","4"
"Hotel Sant Jordi","8,6","€ 70","4"
"Hotel SB Express Tarragona","8,3","€ 81","4"
"Hotel Best Terramarina","8,3","€ 57","4"
"Hotel Mas La Boella","9,1","€ 199","4"
"Palas Pineda","7,8","€ 68","4"
"Estival Park","8,0","€ 69","4"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 151","4"
"Golden Costa Salou - Adults Only 4* Sup","9,0","€ 112","4"
"Mercure Atenea Aventura","8,0","€ 62","4"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","4"
"Medplaya Hotel Calypso","7,7","€ 69","4"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","4"
"Hotel Cala Font","7,9","€ 77","4"
"Aparthotel SunClub Salou","8,0","€ 63","4"
"Hotel Raval de la Mar","8,2","€ 61","4"
"Ohtels Vil·la Romana","8,2","€ 81","4"
"AC Hotel Tarragona by Marriott","8,4","€ 112","5"
"H10 Imperial Tarraco 4* Sup","8,9","€ 147","5"
"Tarraco Park Tarragona","7,9","€ 87","5"
"Hotel SB Ciutat de Tarragona","7,6","€ 118","5"
"Hotel Lauria","7,7","€ 85","5"
"Astari","8,3","€ 70","5"
"Nuria","8,1","€ 79","5"
"B&B Hotel Tarragona Centro Urbis","8,1","€ 61","5"
"Hotel Canadá","8,0","€ 76","5"
"Hotel Sant Jordi","8,6","€ 70","5"
"Hotel SB Express Tarragona","8,3","€ 81","5"
"Hotel Best Terramarina","8,3","€ 57","5"
"Hotel Mas La Boella","9,1","€ 199","5"
"PortAventura Hotel Gold River - Includes PortAventura Park Tickets","8,4","€ 135","5"
"Palas Pineda","7,8","€ 68","5"
"Estival Park","8,0","€ 69","5"
"Hotel-Aparthotel Dorada Palace","8,4","€ 63","5"
"Mercure Atenea Aventura","8,0","€ 62","5"
"Medplaya Hotel Calypso","7,7","€ 69","5"
"PortAventura Hotel El Paso - Includes PortAventura Park Tickets","8,0","€ 133","5"
"Hotel Oasis Park","7,5","€ 53","5"
"Hotel Cala Font","7,9","€ 77","5"
"Aparthotel SunClub Salou","8,0","€ 63","5"
"Hotel Raval de la Mar","8,2","€ 61","5"
"Ohtels Vil·la Romana","8,2","€ 81","5"
"Tarraco Park Tarragona","7,9","€ 87","6"
"Hotel SB Ciutat de Tarragona","7,6","€ 133","6"
"H10 Imperial Tarraco 4* Sup","8,9","€ 273","6"
"Astari","8,3","€ 90","6"
